id,instruction,year
11,"A wall divided horizontally and vertically into four equal parts. Within each part, three of the four kinds of lines are superimposed.",1969
16,"Bands of lines 12 inches (30 cm) wide, in three directions (vertical, horizontal, diagonal right) intersecting.",1969
17,Four-part drawing with a different line direction in each part.,1969
19,"A wall divided vertically into six equal parts, with two of the four kinds of line directions superimposed in each part.",1969
38,Tissue paper cut into 1½-inch (4 cm) squares and inserted into holes in the gray pegboard walls. All holes in the walls are filled randomly.,1970
46,"Vertical lines, not straight, not touching, covering the wall evenly.",1970
47,"A wall divided into fifteen equal parts, each with a different line direction, and all combinations.",1970
51,All architectural points connected by straight lines.,1970
56,"A square is divided horizontally and vertically into four equal parts, each with lines in four directions superimposed progressively.",1970
85,"A wall is divided into four horizontal parts. In the top row are four equal divisions, each with lines in a different direction. In the second row, six double combinations; in the third row, four triple combinations; in the bottom row, all four combinations superimposed.",1971
86,"Ten thousand lines about 10 inches (25 cm) long, covering the wall evenly.",1971
87,"A square divided horizontally and vertically into four equal parts, each with lines and colors in four directions superimposed progressively.",1971
88,"A 6-inch (15 cm) grid covering the wall. Within each square, not straight lines in either of four directions. Only one direction in each square but as many as desired, and at least one line in each square.",1971
95,"On a wall divided vertically into fifteen equal parts, vertical lines, not straight, using four colors in all one-, two-, three-, and four-part combinations.",1971
130,Grid and arcs from four corners. (ACG 103),1972
138,Circles and arcs from the midpoints of four sides. (ACG 59),1972
142,"A 10-inch (25 cm) grid covering the wall. An increasing number of vertical not straight lines from the left side and horizontal not straight lines from bottom to top, adding one line per row of the grid. All lines are spaced evenly based on the number of lines, filling the last row of each direction.",1972
154,A black outlined square with a red horizontal line from the midpoint of the left side toward the middle of the right side.,1973
159,A black outlined square with a red diagonal line from the lower left corner toward the upper right corner; and another red line from the lower right corner to the upper left.,1973
160,A black outlined square with a red diagonal line centered on the axis between the upper left and lower right corners and another red diagonal line centered on the axis between the lower left and upper right corners.,1973
164,A black outlined square with a red horizontal line centered on the axis between the midpoint of the left side and the midpoint of the right side and a red diagonal line centered on the axis between the lower left and upper right corners.,1973
237,The location of a trapezoid.,1974
238,The location of a parallelogram.,1974
274,The location of six geometric figures. (The specific locations are determined by the drafter.),1975
289,"A 6-inch (15 cm) grid covering each of the four black walls. White lines to points on the grids. Fourth wall: twenty-four lines from the center, twelve lines from the midpoint of each of the sides, twelve lines from each corner. (The length of the lines and their placement are determined by the drafter.) (Detail: 4th wall only)",1976
295,Six white geometric figures (outlines) superimposed on a black wall.,1976
305,The location of one hundred random specific points. (The locations are determined by the drafters.),1977
335,"On four black walls, white vertical parallel lines, and in the center of the walls, eight geometric figures (including cross, X) within which are white horizontal parallel lines. The vertical lines do not enter the figures.",1980
